uncertainty_level,freeze_size,lam,method,seed,total_cost_mean,operational_cost_mean,changed_actions_total,runtime_mean_sec,fallback_rate
low,0,0.5,mpc,29,16.440726258163483,7.333823529411765,47,0.00012102127075195313,0.0
low,0,0.5,mpc,30,15.9592836218667,7.0,47,0.00013046897947788239,0.0
low,0,0.5,mpc,31,18.262661253539754,7.017156862745098,61,0.00012434348464012145,0.0
low,0,0.5,mpc,32,15.722218151757767,6.6015651874785,61,0.00012943284078077838,0.0
low,0,0.5,mpc,33,14.987476507270316,7.833333333333333,29,0.00013134007652600607,0.0
low,0,0.5,mpc,34,16.192672248435322,8.011278195488723,30,0.000128009489604405,0.0
low,0,0.5,mpc,35,17.199206094503214,6.268041938997822,52,0.0001299439205063714,0.0
low,0,0.5,mpc,36,21.09950132065128,7.732602339181287,47,0.00013197710116704306,0.0
low,0,0.5,mpc,37,23.799726396809465,8.58133971291866,99,0.00012902136553417552,0.0
low,0,0.5,mpc,38,15.404146830319709,6.917279411764706,46,0.0001239962875843048,0.0
low,0,0.5,mpc,39,18.46687275255223,7.666666666666667,41,0.0001223292201757431,0.0
low,0,0.5,sarcrp,20,7.055555555555556,7.055555555555556,0,6.513380342059665e-05,1.0
low,0,0.5,sarcrp,21,7.041666666666666,7.041666666666666,0,6.121024489402771e-05,1.0
low,0,0.5,sarcrp,22,7.033333333333334,7.033333333333334,0,5.902238190174103e-05,1.0
low,0,0.5,sarcrp,23,7.092592592592592,7.092592592592592,0,5.72283234861162e-05,1.0
low,0,0.5,sarcrp,24,7.081018518518519,7.081018518518519,0,0.051452407302955784,1.0
low,0,0.5,sarcrp,25,7.010416666666667,7.010416666666667,0,6.177695468068123e-05,1.0
low,0,0.5,sarcrp,26,7.080246913580247,7.080246913580247,0,6.136753492885166e-05,1.0
low,0,0.5,sarcrp,27,7.0092592592592595,7.0092592592592595,0,5.837612681918674e-05,1.0
low,0,0.5,sarcrp,28,7.017857142857143,7.017857142857143,0,5.9699373585837225e-05,1.0
low,0,0.5,sarcrp,29,7.033333333333334,7.033333333333334,0,5.7975947856903073e-05,1.0
low,0,0.5,sarcrp,30,7.0,7.0,0,5.687912926077843e-05,1.0
low,0,0.5,sarcrp,31,7.0166666666666675,7.0166666666666675,0,0.06709211580455303,1.0
low,0,0.5,sarcrp,32,7.128787878787879,7.128787878787879,0,0.0552112954584035,1.0
low,0,0.5,sarcrp,33,7.0,7.0,0,7.075505952040355e-05,1.0
low,0,0.5,sarcrp,34,7.011904761904761,7.011904761904761,0,6.104101027761186e-05,1.0
low,0,0.5,sarcrp,35,7.0586419753086425,7.0586419753086425,0,5.811577041943868e-05,1.0
low,0,0.5,sarcrp,36,7.069444444444444,7.069444444444444,0,0.10330830328166485,1.0
low,0,0.5,sarcrp,37,7.037878787878787,7.037878787878787,0,0.060622083192521874,1.0
low,0,0.5,sarcrp,38,7.0625,7.0625,0,6.105704233050346e-05,1.0
low,0,0.5,sarcrp,39,7.0,7.0,0,5.8002149065335594e-05,1.0
low,0,1.0,static,20,7.055555555555556,7.055555555555556,0,2.4297171168857153e-07,1.0
low,0,1.0,static,21,7.041666666666666,7.041666666666666,0,2.0954757928848267e-07,1.0
low,0,1.0,static,22,7.033333333333334,7.033333333333334,0,1.9371509552001953e-07,1.0
low,0,1.0,static,23,7.092592592592592,7.092592592592592,0,1.999239126841227e-07,1.0
low,0,1.0,static,24,7.081018518518519,7.081018518518519,0,1.9216289122899374e-07,1.0
low,0,1.0,static,25,7.010416666666667,7.010416666666667,0,1.993030309677124e-07,1.0
low,0,1.0,static,26,7.080246913580247,7.080246913580247,0,1.8750627835591635e-07,1.0
low,0,1.0,static,27,7.0092592592592595,7.0092592592592595,0,1.908176475101047e-07,1.0
low,0,1.0,static,28,7.017857142857143,7.017857142857143,0,1.9078808171408517e-07,1.0
low,0,1.0,static,29,7.033333333333334,7.033333333333334,0,2.1457672119140626e-07,1.0
low,0,1.0,static,30,7.0,7.0,0,2.1094456315040588e-07,1.0
low,0,1.0,static,31,7.0166666666666675,7.0166666666666675,0,2.078711986541748e-07,1.0
low,0,1.0,static,32,7.128787878787879,7.128787878787879,0,1.9439242102883078e-07,1.0
low,0,1.0,static,33,7.0,7.0,0,2.117206652959188e-07,1.0
low,0,1.0,static,34,7.011904761904761,7.011904761904761,0,1.9477946417672293e-07,1.0
low,0,1.0,static,35,7.0586419753086425,7.0586419753086425,0,2.0820233556959363e-07,1.0
low,0,1.0,static,36,7.069444444444444,7.069444444444444,0,2.086162567138672e-07,1.0
low,0,1.0,static,37,7.037878787878787,7.037878787878787,0,1.9947236234491522e-07,1.0
low,0,1.0,static,38,7.0625,7.0625,0,2.2957101464271545e-07,1.0
low,0,1.0,static,39,7.0,7.0,0,2.247591813405355e-07,1.0
low,0,1.0,full_reopt,20,16.259721743368075,7.830896686159845,45,8.6639490392473e-05,0.0
low,0,1.0,full_reopt,21,26.305890414041762,7.641727941176471,75,8.607935160398483e-05,0.0
low,0,1.0,full_reopt,22,13.993959732406278,5.803125,45,8.484534919261932e-05,0.0
low,0,1.0,full_reopt,23,21.78534982235433,6.029048656499636,67,8.15623336368137e-05,0.0
